	named_entities	type
1709	 Decreto no 92.692	test
1710	 Decreto no 92.617	train
1711	 Decreto no 92.688	train
1712	 Decreto no 92.689	train
1713	 Decreto no 92.688	train
1714	 Decreto no 92.688	train
1715	 Decreto no 92.687	train
1716	Decreto-Lei no 288	train
1717	 Decreto no 92.622	train
1718	 Decreto no 89.487	test
1719	 Decreto no 89.406	test
1720	 Decreto no 92.693	train
1721	 Decreto no 92.617	train
1722	 Decreto no 92.688	train
1723	 Decreto no 90.967	train
1724	 Decreto no 86.829	train
1725	 Decreto no 87.217	train
1726	Decreto-Lei no 2.284	train
1727	 Decreto no 91.403	train
1728	 Decreto no 91.404	train
1729	 Decreto no 92.560	test
1730	 Decreto no 92.684	test
1731	 Decreto no 92.620	train
1732	 Decreto no 92.617	train
1733	 Decreto no 92.617	train
1734	 Decreto no 92.622	train
1735	 Decreto no 92.617	train
1736	 Decreto no 92.623	train
1737	 Decreto no 92.617	train
1738	 Decreto no 92.617	train
1739	 Decreto no 92.622	test
1740	 Decreto no 92.689	test
1741	 Decreto no 92.681	train
1742	 Decreto no 92.623	train
1743	 Decreto no 92.452	train
1744	 Lei no 7.505	train
1745	 Lei no 8.216	train
1746	 Decreto no 99.678	train
1747	 Decreto no 99.266	train
1748	 Decreto no 62.724	train
1749	 Decreto no 96.759	test
1750	 Decreto no 228	test
1751	 Lei no 8.270	train
1752	Decreto-Lei no 2.347	train
1753	 Decreto no 91.524	train
1754	Medida Provisória no 302	train
1755	 Lei no 8.197	train
1756	 Decreto no 74.557	train
1757	 Lei no 8.438	train
1758	 Lei no 8.352	train
1759	 Lei no 5.700	train
1760	 Lei no 8.447	train
1761	 Lei no 8.352	test
1762	 Lei no 8.185	test
1763	 Lei no 8.173	train
1764	Decreto-Lei no 2.452	train
1765	 Lei no 8.028	train
1766	Lei Complementar no 62	train
1767	 Lei no 7.920	train
1768	 Decreto no 475	train
1769	 Decreto no 475	train
1770	 Decreto no 99.438	train
1771	 Decreto no 99.532	test
1772	Decreto no 91	test
1773	 Decreto no 60.459	train
1774	 Decreto no 61.589	train
1775	 Lei no 8.020	train
1776	 Lei no 8 422	train
1777	Decreto no 22	train
1778	 Decreto no 475	train
1779	 Decreto no 587	train
1780	 Decreto no 357	train
1781	 Decreto no 677	train
1782	 Lei no 8.216	train
1783	Decreto-Lei no 1.809	test
1784	 Decreto no 99.266	test
1785	Decreto-Lei no 2.848	train
1786	Decreto-Lei no 2.848	train
1787	Decreto-Lei no 3.689	train
1788	 Lei no 10.696	train
1789	 Lei no 9.613	train
1790	 Decreto no 4.586	train
1791	 Lei no 8.213	train
1792	 Decreto no 2.707	train
1793	 Lei no 10.640	train
1794	 Lei no 4.737	train
1795	 Decreto no 3.647	test
1796	 Decreto no 3.629	test
1797	 Decreto no 98.068	train
1798	 Decreto no 1.590	train
1799	 Decreto no 1.711	train
1800	 Lei no 8.242	train
1801	 Decreto no 408	train
1802	 Decreto no 3.277	train
1803	 Decreto no 4.562	train
1804	 Lei no 10.201	train
1805	 Decreto no 4.732	train
1806	 Decreto no 4.544	test
1807	 Decreto no 4.542	test
1808	 Lei no 9.424	test
1809	 Lei no 8.989	train
1810	 Decreto no 3.420	train
1811	 Lei no 9.608	train
1812	 Lei no 9.394	train
1813	 Lei no 8.870	train
1814	 Lei no 10.524	train
1815	 Decreto no 4.591	train
1816	 Decreto no 4.708	train
1817	 Lei no 4.131	train
1818	 Decreto no 55.762	train
1819	 Decreto no 4.307	train
1820	Medida Provisória no 2.215	train
1821	 Decreto no 3.939	test
1822	 Decreto no 3.048	test
1823	 Lei no 9.279	train
1824	 Decreto no 3.201	train
1825	 Lei no 10.640	train
1826	Lei Complementar no 110	train
1827	 Decreto no 3.913	train
1828	 Decreto no 3.048	train
1829	 Lei no 9.294	train
1830	 Decreto no 93.325	train
1831	 Lei no 9.613	train
1832	 Lei no 9.424	train
1833	 Lei no 8.112	test
1834	 Decreto no 4.050	test
1835	 Decreto no 4.481	test
1836	 Decreto no 4.128	train
1837	 Lei no 7.559	train
1838	 Decreto no 4.544	train
1839	 Decreto no 4.542	train
1840	 Lei no 10.406	train
1841	 Decreto no 4.591	train
1842	 Decreto no 4.248	train
1843	 Lei no 9.607	train
1844	 Lei no 10.410	train
1845	 Decreto no 2.996	test
1846	 Lei no 8.989	test
1847	 Decreto no 3.701	train
1848	 Decreto no 51.865	train
1849	 Lei no 8.745	train
1850	 Lei no 10.640	train
1851	Lei Complementar no 26	train
1852	 Decreto no 4.564	train
1853	 Decreto no 4.575	train
1854	 Lei no 10.438	train
1855	 Decreto no 4.541	train
1856	 Lei no 7.210	test
1857	 Decreto no 4.686	test
1858	Lei Complementar no 101	train
1859	 Lei no 10.524	train
1860	 Lei no 8.029	train
1861	 Lei no 10.336	train
1862	 Lei no 9.394	train
1863	 Lei no 10.406	train
1864	 Decreto no 4.129	train
1865	 Decreto no 4.385	train
1866	 Decreto no 3.179	train
1867	 Lei no 8.878	test
1868	 Decreto no 3.363	test
1869	 Decreto no 4.081	test
1870	 Decreto no 3.450	train
1871	 Decreto no 4.562	train
1872	 Decreto no 62.724	train
1873	 Decreto no 2.153	train
1874	 Decreto no 3.648	train
1875	 Lei no 10.437	train
1876	Medida Provisória no 2.196	train
1877	 Decreto no 4.434	train
1878	Medida Provisória no 103	train
1879	 Lei no 8.427	train
1880	 Lei no 10.420	test
1881	 Lei no 9.294	test
1882	 Lei no 10.438	train
1883	 Decreto no 4.541	train
1884	 Decreto no 59.170	train
1885	Medida Provisória no 108	train
1886	 Lei no 6.704	train
1887	Medida Provisória no 2.192	train
1888	 Lei no 8.078	train
1889	 Decreto no 3.604	train
1890	 Decreto no 3.648	train
1891	 Lei no 8.745	test
1892	 Lei no 10.470	test
1893	 Lei no 8.112	test
1894	 Lei no 8.029	test
1895	 Lei no 6.360	train
1896	 Lei no 9.615	train
1897	 Lei no 5.517	train
1898	 Decreto no 2.710	train
1899	 Decreto no 4.575	train
1900	 Lei no 10.406	train
1901	 Lei no 5.917	train
1902	 Lei no 10.640	train
1903	 Decreto no 4.591	test
1904	 Lei no 8.742	test
1905	 Decreto no 1.744	test
1906	 Decreto no 4.562	train
1907	 Decreto no 3.048	train
1908	Medida Provisória no 2.181	train
1909	 Lei no 10.667	train
1910	 Lei no 10.683	train
1911	 Decreto no 4.543	train
1912	 Lei no 9.503	train
1913	 Lei no 9.636	train
1914	 Lei no 10.429	test
1915	 Lei no 10.826	test
1916	 Decreto no 2.119	train
1917	 Lei no 10.637	train
1918	Medida Provisória no 144	train
1919	 Decreto no 4.763	train
1920	 Decreto no 4.465	train
1921	 Lei no 9.424	train
1922	 Lei no 9.766	train
1923	 Lei no 10.742	train
1924	 Decreto no 4.900	train
1925	Emenda Constitucional no 20	test
1926	Medida Provisória no 130	test
1927	 Lei no 5.917	train
1928	 Lei no 9.015	train
1929	 Decreto no 1.519	train
1930	 Decreto no 24.602	train
1931	 Decreto no 4.591	train
1932	 Lei no 9.424	train
1933	 Lei no 9.766	train
1934	 Decreto no 3.142	train
1935	Decreto-Lei no 288	train
1936	 Decreto no 3.800	train
1937	 Decreto no 4.401	train
1938	 Decreto no 3.945	train
1939	Medida Provisória no 2.186	train
1940	Medida Provisória no 2.181	train
1941	 Lei no 6.360	test
1942	 Lei no 10.438	test
1943	 Decreto no 4.562	test
1944	 Decreto no 4.538	train
1945	 Lei no 10.331	train
1946	Lei Complementar no 109	train
1947	 Lei no 7.210	train
1948	Decreto-Lei no 3.689	train
1949	 Lei no 9.394	train
1950	 Lei no 6.530	train
1951	 Lei no 10.260	train
1952	 Decreto no 4.726	train
1953	 Decreto no 4.591	test
1954	 Lei no 10.703	test
1955	 Decreto no 3.048	train
1956	 Decreto no 4.552	train
1957	 Lei no 9.883	train
1958	 Decreto no 4.376	train
1959	 Decreto no 3.048	train
1960	 Lei no 8.069	train
1961	 Lei no 10.558	train
1962	 Lei no 8.185	train
1963	 Decreto no 3.860	train
1964	 Decreto no 4.586	test
1965	 Decreto no 4.774	test
1966	 Lei no 9.656	test
1967	 Decreto no 4.586	train
1968	 Decreto no 4.774	train
1969	 Lei no 9.818	train
1970	Decreto-Lei no 2.848	train
1971	 Lei no 10.640	train
1972	 Lei no 10.355	train
1973	 Lei no 10.188	train
1974	 Lei no 10.188	train
1975	 Decreto no 4.885	train
1976	 Decreto no 4.858	test
1977	 Lei no 9.504	test
1978	 Lei no 10.408	test
1979	 Decreto no 3.048	train
1980	 Decreto no 4.591	train
1981	Medida Provisória no 131	train
1982	 Decreto no 4.582	train
1983	 Decreto no 4.673	train
1984	 Decreto no 2.314	train
1985	 Lei no 9.871	train
1986	Lei Complementar no 93	train
1987	 Decreto no 4.591	test
1988	 Lei no 10.559	test
1989	 Lei no 5.917	train
1990	 Lei no 8.884	train
1991	 Decreto no 4.288	train
1992	 Decreto no 3.648	train
1993	 Decreto no 4.575	train
1994	 Lei no 8.213	train
1995	 Lei no 10.683	train
1996	 Decreto no 4.723	train
1997	 Decreto no 4.705	train
1998	 Decreto no 4.819	test
1999	 Decreto no 4.805	test
2000	 Lei no 10.707	train
2001	 Decreto no 97.596	train
2002	 Decreto no 95.859	train
2003	 Lei no 9.650	train
2004	Medida Provisória no 2.229	train
2005	 Lei no 6.360	train
2006	 Decreto no 1.096	train
2007	 Decreto no 1.923	train
2008	 Decreto no 95.660	train
2009	 Decreto no 97.667	train
2010	 Lei no 9.294	test
2011	 Decreto no 825	test
2012	 Decreto no 1.903	train
2013	 Decreto no 58.380	train
2014	Decreto no 5	train
2015	 Decreto no 1547	train
2016	 Decreto no 1820	train
2017	 Decreto no 1958	train
2018	 Decreto no 1998	train
2019	 Decreto no 52.795	train
2020	 Decreto no 894	test
2021	 Lei no 9.017	test
2022	 Decreto no 1.646	test
2023	 Decreto no 1.767	train
2024	 Decreto no 1.757	train
2025	 Lei no 6.704	train
2026	 Lei no 8.460	train
2027	 Decreto no 1.138	train
2028	 Decreto no 1.778	train
2029	 Decreto no 1.662	train
2030	 Decreto no 74.102	train
2031	 Decreto no 2.027	test
2032	 Decreto no 62.127	test
2033	 Decreto no 2.048	train
2034	 Lei no 8.031	train
2035	 Decreto no 1.204	train
2036	 Lei no 6.494	train
2037	 Decreto no 87.497	train
2038	 Decreto no 1.923	train
2039	 Decreto no 2.034	train
2040	 Decreto no 60.077	train
2041	 Decreto no 74.557	train
2042	 Decreto no 94.327	train
2043	 Decreto no 92.622	train
2044	 Decreto no 92.623	test
2045	 Decreto no 92.623	test
2046	 Decreto no 92.623	train
2047	 Decreto no 92.617	train
2048	 Decreto no 92.690	train
2049	 Decreto no 92.689	train
2050	 Decreto no 92.622	train
2051	 Decreto no 94.661	train
2052	 Decreto no 92.607	train
2053	 Decreto no 86.763	train
2054	 Decreto no 97.613	test
2055	 Decreto no 92.617	test
2056	 Decreto no 97.455	train
2057	 Decreto no 92.690	train
2058	 Decreto no 92.621	train
2059	 Decreto no 92.690	train
2060	 Decreto no 92.622	train
2061	 Decreto no 92.687	train
2062	 Decreto no 92.687	train
2063	 Decreto no 92.694	train
2064	 Decreto no 92.622	test
2065	 Decreto no 92.619	test
2066	 Decreto no 92.694	train
2067	 Decreto no 92.619	train
2068	 Decreto no 92.690	train
2069	 Lei no 7.789	train
2070	 Decreto no 92.694	train
2071	 Decreto no 92.690	train
2072	 Decreto no 92.689	train
2073	 Decreto no 92.622	train
2074	 Decreto no 92.693	test
2075	 Decreto no 97.455	test
2076	 Decreto no 92.692	train
2077	 Decreto no 92.619	train
2078	 Decreto no 92.619	train
2079	 Decreto no 92.622	train
2080	 Decreto no 92.619	train
2081	 Decreto no 92.690	train
2082	 Decreto no 92.694	train
2083	 Lei no 7.802	train
2084	 Decreto no 90.893	test
2085	 Decreto no 96.141	test
2086	 Decreto no 92.503	train
2087	 Decreto no 71.848	train
2088	 Decreto no 93.667	train
2089	 Decreto no 97.455	train
2090	 Decreto no 97.282	train
2091	 Lei no 7.715	train
2092	 Lei no 7.773	train
2093	 Decreto no 41.019	train
2094	 Lei no 7.827	test
2095	 Decreto no 96.496	test
2096	 Decreto no 97.961	train
2097	 Lei no 7.789	train
2098	 Decreto no 79.900	train
2099	 Decreto no 92.679	train
2100	 Lei no 7.739	train
2101	 Decreto no 97.605	train
2102	 Lei no 7.798	train
2103	 Decreto no 92.619	train
2104	 Lei no 7.789	test
2105	 Decreto no 97.455	test
2106	 Decreto no 98.228	train
2107	 Decreto no 97.281	train
2108	 Decreto no 97.685	train
2109	 Decreto no 81.591	train
2110	 Decreto no 92.857	train
2111	 Decreto no 97.921	train
2112	Medida Provisória no 32	train
2113	Medida Provisória no 30	train
2114	 Lei no 9.678	train
2115	 Lei no 10.910	train
2116	 Decreto no 4.992	test
2117	 Lei no 9.096	test
2118	 Lei no 9.504	test
2119	 Decreto no 4.632	train
2120	 Decreto no 3.972	train
2121	 Decreto no 89.817	train
2122	 Lei no 10.406	train
2123	 Lei no 10.814	train
2124	 Lei no 5.821	train
2125	 Decreto no 3.998	train
2126	 Lei no 8.691	train
2127	 Lei no 8.112	train
2128	 Lei no 9.650	train
2129	 Lei no 10.768	train
2130	Medida Provisória no 2.229	train
2131	 Lei no 10.891	train
2132	 Lei no 10.891	test
2133	 Decreto no 3.800	test
2134	 Decreto no 4.401	test
2135	 Lei no 5.991	train
2136	 Decreto no 74.170	train
2137	 Decreto no 2.153	train
2138	Lei Complementar no 101	train
2139	 Decreto no 1.935	train
2140	 Decreto no 5.201	train
2141	 Lei no 5.172	train
2142	 Decreto no 5.196	train
2143	 Decreto no 1.351	train
2144	 Lei no 9.424	train
2145	 Lei no 8.112	test
2146	 Lei no 9.985	test
2147	 Lei no 10.837	train
2148	 Decreto no 4.855	train
2149	Medida Provisória no 232	train
2150	 Decreto no 5.244	train
2151	 Decreto no 4.376	train
2152	 Decreto no 4.878	train
2153	 Decreto no 5.201	train
2154	 Decreto no 4.901	train
2155	 Lei no 9.637	test
2156	 Lei no 8.974	test
2157	 Lei no 10.814	test
2158	Medida Provisória no 2.191	test
2159	 Lei no 8.213	train
2160	 Decreto no 3.048	train
2161	 Decreto no 4.732	train
2162	Decreto-Lei no 2.848	train
2163	 Decreto no 3.762	train
2164	 Decreto no 5.083	train
2165	Medida Provisória no 246	train
2166	 Decreto no 5.371	train
2167	 Lei no 8.080	test
2168	 Decreto no 88.777	test
2169	 Decreto no 3.564	train
2170	 Decreto no 4.689	train
2171	 Decreto no 5.135	train
2172	 Decreto no 93.188	train
2173	 Decreto no 4.543	train
2174	 Decreto no 2.444	train
2175	 Lei no 8.029	train
2176	 Lei no 9.311	train
2177	 Lei no 9.872	train
2178	 Lei no 10.194	train
2179	 Lei no 10.735	train
2180	 Lei no 10.188	train
2181	 Decreto no 3.945	train
2182	 Decreto no 64.704	test
2183	 Lei no 5.869	test
2184	Decreto-Lei no 3.689	train
2185	 Lei no 9.394	train
2186	 Lei no 9.615	train
2187	 Lei no 10.826	train
2188	 Decreto no 5.390	train
2189	 Lei no 10.147	train
2190	 Decreto no 3.803	train
2191	 Lei no 11.097	train
2192	 Decreto no 5.379	train
2193	 Lei no 5.917	train
2194	 Lei no 8.216	test
2195	 Lei no 9.649	test
2196	 Decreto no 4.732	test
2197	 Decreto no 5.297	train
2198	 Lei no 8.745	train
2199	 Lei no 10.483	train
2200	Medida Provisória no 2.186	train
2201	 Decreto no 5.286	train
2202	 Decreto no 5.379	train
2203	 Lei no 5.537	train
2204	Medida Provisória no 252	train
2205	 Decreto no 4.955	train
2206	 Decreto no 2.413	test
2207	 Lei no 10.826	test
2208	 Lei no 10.849	train
2209	 Decreto no 4.834	train
2210	 Decreto no 3.277	train
2211	 Lei no 10.406	train
2212	 Lei no 11.101	train
2213	 Lei no 11.096	train
2214	Medida Provisória no 249	train
2215	 Decreto no 3.591	train
2216	 Lei no 8.429	train
2217	Medida Provisória no 2.185	test
2218	 Lei no 9.985	test
2219	 Decreto no 4.878	train
2220	 Decreto no 4.939	train
2221	 Decreto no 3.646	train
2222	 Lei no 11.096	train
2223	 Decreto no 3.505	train
2224	 Lei no 10.683	train
2225	 Lei no 10.667	train
2226	 Lei no 8.745	train
2227	 Lei no 11.100	train
2228	 Lei no 11.100	train
2229	 Decreto no 5.032	test
2230	 Decreto no 5.163	test
2231	 Lei no 8.350	train
2232	 Lei no 11.100	train
2233	 Decreto no 5.291	train
2234	Decreto-Lei no 1.040	train
2235	Medida Provisória no 252	train
2236	Medida Provisória no 258	train
2237	 Lei no 10.823	train
2238	 Decreto no 5.121	train
2239	 Decreto no 5.379	train
2240	 Decreto no 4.797	test
2241	 Decreto no 3.179	test
2242	 Decreto no 4.376	train
2243	 Lei no 11.105	train
2244	 Decreto no 5.379	train
2245	 Decreto no 1.711	train
2246	 Lei no 10.893	train
2247	 Lei no 9.432	train
2248	 Lei no 8.906	train
2249	 Decreto no 3.048	train
2250	 Decreto no 2.824	train
2251	 Lei no 7.802	test
2252	 Decreto no 4.074	test
2253	 Lei no 5.537	test
2254	 Lei no 5.452	test
2255	 Decreto no 4.955	train
2256	 Decreto no 5.379	train
2257	 Lei no 9.394	train
2258	 Lei no 11.129	train
2259	 Lei no 8.069	train
2260	 Lei no 10.893	train
2261	 Decreto no 5.140	train
2262	 Lei no 10.973	train
2263	Medida Provisória no 249	train
2264	 Lei no 5.869	test
2265	Lei Complementar no 79	test
2266	 Lei no 9.985	train
2267	 Decreto no 4.340	train
2268	 Decreto no 4.449	train
2269	 Decreto no 3.900	train
2270	 Lei no 11.094	train
2271	 Decreto no 5.379	train
2272	 Lei no 10.826	train
2273	 Lei no 11.090	train
2274	 Decreto no 4.733	train
2275	 Lei no 10.683	test
2276	 Lei no 8.948	test
2277	 Decreto no 5.510	train
2278	 Decreto no 3.048	train
2279	 Lei no 8.661	train
2280	Decreto-Lei no 288	train
2281	Decreto-Lei no 2.287	train
2282	 Decreto no 70.235	train
2283	Medida Provisória no 2.199	train
2284	Medida Provisória no 2.158	train
2285	 Decreto no 4.081	train
2286	 Lei no 11.105	train
2287	 Lei no 11.100	train
2288	 Decreto no 5.500	train
2289	 Decreto no 4.253	train
2290	 Decreto no 4.254	test
2291	 Lei no 6.704	test
2292	 Decreto no 5.291	train
2293	 Lei no 10.683	train
2294	 Lei no 10.667	train
2295	 Lei no 8.745	train
2296	 Lei no 11.182	train
2297	 Lei no 11.196	train
2298	 Decreto no 99.217	train
2299	 Decreto no 5.379	train
2300	 Lei no 8.212	train
2301	 Lei no 11.196	train
2302	 Decreto no 5.379	train
2303	 Lei no 11.046	train
2304	 Decreto no 4.542	test
2305	 Lei no 9.394	test
2306	 Lei no 5.917	train
2307	 Lei no 8.884	train
2308	 Lei no 10.871	train
2309	 Lei no 8.387	train
2310	 Decreto no 517	train
2311	 Lei no 5.869	train
2312	 Lei no 10.862	train
2313	 Lei no 10.436	train
2314	 Lei no 10.098	train
2315	 Lei no 11.196	train
2316	 Lei no 11.196	train
2317	 Lei no 10.925	test
2318	 Decreto no 5.244	test
2319	 Lei no 10.355	train
2320	 Decreto no 5.355	train
2321	 Decreto no 5.157	train
2322	 Decreto no 5.159	train
2323	Medida Provisória no 2.199	train
2324	 Lei no 10.724	train
2325	 Decreto no 5.296	train
2326	Lei Complementar no 87	train
2327	 Lei no 5.917	train
2328	 Lei no 9.317	test
2329	 Lei no 11.196	test
2330	 Lei no 8.989	test
2331	 Lei no 11.196	test
2332	 Lei no 11.196	train
2333	 Lei no 10.833	train
2334	 Lei no 11.196	train
2335	Medida Provisória no 269	train
2336	 Lei no 8.742	train
2337	 Decreto no 5.196	train
2338	 Decreto no 76.988	train
2339	 Decreto no 5.379	train
2340	 Lei no 8.019	train
2341	 Lei no 9.365	train
2342	 Lei no 8.019	test
2343	 Lei no 9.365	test
2344	 Lei no 8.019	test
2345	 Lei no 9.365	test
2346	 Lei no 8.019	train
2347	 Lei no 9.365	train
2348	 Lei no 8.019	train
2349	 Lei no 9.365	train
2350	 Lei no 8.019	train
2351	 Lei no 9.365	train
2352	 Lei no 8019	train
2353	 Lei no 9365	train
2354	 Lei no 8.019	train
2355	 Lei no 9.365	train
2356	 Lei no 8.019	train
2357	 Lei no 9.365	train
2358	 Lei no 8.019	train
2359	 Lei no 9.365	train
2360	 Lei no 8.019	train
2361	 Lei no 9.365	train
2362	 Lei no 9365	test
2363	 Lei no 8.019	test
2364	 Lei no 9.365	test
2365	 Decreto no 6.521	train
2366	 Lei no 6.454	train
2367	 Lei no 8.631	train
2368	 Lei no 7.831	train
2369	 Lei no 10.438	train
2370	 Lei no 11.578	train
2371	 Lei no 10.420	train
2372	 Lei no 10.954	train
2373	Medida Provisória no 587	train
2374	 Lei no 10.420	train
2375	 Decreto no 7.837	train
2376	Medida Provisória no 587	train
2377	 Lei no 10.438	test
2378	 Lei no 12.783	test
2379	 Lei no 10.438	test
2380	Medida Provisória no 605	test
2381	 Lei no 8.666	train
2382	 Decreto no 6.306	train
2383	 Lei no 10.931	train
2384	 Decreto no 6.129	train
2385	 Decreto no 42.290	train
2386	 Decreto no 5.521	train
2387	 Decreto no 4.797	train
2388	 Decreto no 6.233	train
2389	 Lei no 12.528	train
2390	 Lei no 12.715	test
2391	 Decreto no 7.451	test
2392	 Decreto no 7.743	train
2393	 Decreto no 7.304	train
2394	 Decreto no 7.689	train
2395	 Lei no 11.483	train
2396	 Decreto no 6.018	train
2397	 Lei no 10.836	train
2398	 Lei no 10.836	train
2399	 Decreto no 5.209	train
2400	 Decreto no 6.689	train
2401	 Decreto no 4.280	train
2402	 Lei no 10.410	test
2403	 Lei no 11.357	test
2404	 Decreto no 6.275	test
2405	 Decreto no 7.736	train
2406	 Decreto no 7.514	train
2407	 Lei no 12.249	train
2408	 Decreto no 7.660	train
2409	 Decreto no 5.357	train
2410	 Decreto no 6.952	train
2411	 Decreto no 7.775	train
2412	 Decreto no 1.808	train
2413	 Decreto no 5.289	test
2414	 Decreto no 5.390	test
2415	 Decreto no 6.806	train
2416	 Decreto no 4.244	train
2417	 Lei no 8.078	train
2418	 Decreto no 7.946	train
2419	 Lei no 8.918	train
2420	 Decreto no 6.871	train
2421	Lei Complementar no 123	train
2422	 Lei no 10.683	train
2423	 Lei no 12.598	train
2424	 Lei no 12.715	train
2425	 Decreto no 7.819	train
2426	 Decreto no 7.660	test
2427	 Decreto no 3.522	test
2428	 Decreto no 6.306	train
2429	 Lei no 12.712	train
2430	 Lei no 11.196	train
2431	Medida Provisória no 2.199	train
2432	 Lei no 12.708	train
2433	 Lei no 9.394	train
2434	 Lei no 10.954	train
2435	 Lei no 10.865	train
2436	 Lei no 12.783	train
2437	 Lei no 12.715	train
2438	Medida Provisória no 601	train
2439	 Lei no 10.420	train
2440	Medida Provisória no 610	train
2441	 Decreto no 6.022	train
2442	 Lei no 11.196	test
2443	 Decreto no 5.602	test
2444	 Lei no 9.615	test
2445	 Decreto no 7.784	train
2446	 Decreto no 7.963	train
2447	 Decreto no 7.214	train
2448	 Lei no 12.715	train
2449	 Lei no 12.249	train
2450	 Lei no 9.797	train
2451	 Lei no 8.674	train
2452	Decreto-Lei no 2.266	train
2453	 Decreto no 7.555	train
2454	 Decreto no 7.212	train
2455	Medida Provisória no 540	train
2456	 Lei no 8.171	test
2457	 Lei no 12.595	test
2458	 Lei no 10.420	train
2459	 Lei no 10.954	train
2460	 Lei no 10.865	train
2461	 Lei no 11.196	train
2462	 Decreto no 6.573	train
2463	 Decreto no 6.952	train
2464	 Lei no 10.910	train
2465	 Lei no 9.650	train
2466	 Lei no 11.890	train
2467	 Lei no 11.539	train
2468	 Lei no 11.090	train
2469	 Lei no 11.358	train
2470	 Lei no 12.702	train
2471	 Decreto no 7.096	train
2472	 Lei no 12.772	train
2473	 Lei no 11.526	train
2474	 Lei no 8.666	train
2475	 Decreto no 7.709	train
2476	 Decreto no 7.840	train
2477	 Lei no 12.469	test
2478	 Lei no 12.703	test
2479	Decreto-Lei no 5.452	train
2480	 Lei no 9.986	train
2481	 Decreto no 6.759	train
2482	 Lei no 12.783	train
2483	 Lei no 12.715	train
2484	 Lei no 12.546	train
2485	 Decreto no 7.819	train
2486	 Decreto no 7.660	train
2487	 Decreto no 4.584	train
2488	 Lei no 10.438	train
2489	 Decreto no 7.891	train
2490	Medida Provisória no 605	train
2491	 Decreto no 6.306	test
2492	 Lei no 12.462	test
2493	 Lei no 11.803	train
2494	 Lei no 10.836	train
2495	Lei Complementar no 93	train
2496	 Decreto no 4.892	train
2497	 Decreto no 6.306	train
2498	 Lei no 12.793	train
2499	 Lei no 12.741	train
2500	 Lei no 8.078	train
2501	 Decreto no 7.482	train
2502	 Decreto no 6.061	train
2503	 Lei no 12.815	train
2504	 Decreto no 7.660	test
2505	 Lei no 10.893	test
2506	 Lei no 9.432	test
2507	 Decreto no 3.029	train
2508	 Lei no 10.257	train
2509	 Decreto no 7.535	train
2510	 Lei no 9.472	train
2511	 Lei no 12.249	train
2512	 Decreto no 7.385	train
2513	 Lei no 12.767	train
2514	 Decreto no 2.824	train
2515	 Lei no 6.704	test
2516	 Decreto no 3.937	test
2517	 Decreto no 3.213	test
2518	 Decreto no 2.444	train
2519	Lei Complementar no 62	train
2520	 Lei no 5.172	train
2521	 Lei no 8.443	train
2522	 Lei no 5.172	train
2523	 Lei no 12.844	train
2524	 Lei no 10.954	train
2525	 Decreto no 70.235	train
2526	Medida Provisória no 2.158	train
2527	 Decreto no 7.689	train
2528	 Decreto no 7.096	train
2529	 Lei no 6.894	train
2530	 Decreto no 4.954	train
2531	 Lei no 8.934	train
2532	 Decreto no 5.820	test
2533	 Decreto no 52.795	test
2534	 Decreto no 7.995	test
2535	 Lei no 12.505	train
2536	 Lei no 9.034	train
2537	Decreto-Lei no 2.848	train
2538	 Decreto no 7.690	train
2539	 Lei no 9.610	train
2540	 Decreto no 7.660	train
2541	 Lei no 12.815	train
2542	 Decreto no 8.033	train
2543	 Decreto no 5.906	train
2544	 Lei no 12.688	train
2545	 Decreto no 7.633	train
2546	 Lei no 12.681	test
2547	 Lei no 12.154	test
2548	 Lei no 6.360	train
2549	 Lei no 11.907	train
2550	 Lei no 10.355	train
2551	Medida Provisória no 615	train
2552	 Lei no 12.462	train
2553	 Decreto no 7.581	train
2554	 Decreto no 8.040	train
2555	 Decreto no 4.524	train
2556	 Decreto no 2.521	train
2557	 Lei no 12.761	test
2558	 Decreto no 6.188	test
2559	 Decreto no 7.784	train
2560	 Lei no 11.355	train
2561	 Lei no 10.410	train
2562	 Lei no 8.216	train
2563	 Lei no 11.357	train
2564	 Lei no 10.410	train
2565	 Lei no 6.938	train
2566	 Decreto no 6.563	train
2567	 Decreto no 1.422	train
2568	 Decreto no 6.972	train
2569	 Decreto no 7.688	train
2570	 Decreto no 4.801	train
2571	 Decreto no 3.505	train
2572	 Decreto no 6.408	test
2573	 Decreto no 5.667	test
2574	 Decreto no 6.812	train
2575	 Decreto no 6.944	train
2576	 Decreto no 4.780	train
2577	 Lei no 11.539	train
2578	 Lei no 7.990	train
2579	 Lei no 11.196	train
2580	Medida Provisória no 2.199	train
2581	 Decreto no 5.135	train
2582	 Lei no 11.445	train
2583	 Lei no 12.772	test
2584	 Lei no 12.550	test
2585	 Lei no 8.080	test
2586	 Decreto no 7.660	train
2587	 Decreto no 7.846	train
2588	 Lei no 10.833	train
2589	 Lei no 11.727	train
2590	 Decreto no 6.707	train
2591	 Decreto no 7.995	train
2592	 Decreto no 6.558	train
2593	 Decreto no 70.235	train
2594	 Decreto no 7.721	train
2595	 Decreto no 7.819	train
2596	 Lei no 12.793	test
2597	 Lei no 12.741	test
2598	 Lei no 8.078	test
2599	 Decreto no 7.644	test
2600	 Lei no 12.598	train
2601	 Decreto no 3.048	train
2602	 Lei no 11.904	train
2603	 Lei no 11.906	train
